mention_id,platform,source_name,Brand social media link,text,brand_name,language,sentiment,topic,relevance_score,engagement,product_mentioned,product_id
mention_00985,Twitter,user_5995,https://twitter.com/user_5995/status/9551366213,مزيل ايفا عامل حساسية تحت الباط 😢,Eva Cosmetics,ar,negative,skin_reaction,1.0,"{'likes': 20, 'retweets': 66, 'replies': 9}",إيفا Natural Deodorant,EVA-0048
mention_00901,Jumia,user_9763,https://jumia.com/product/EVA-0016/review/mention_00901,عادي مفيش حاجة مميزة,Eva Cosmetics,ar,negative,general_mention,0.7,{'helpful_votes': 44},إيفا Face Moisturizer,EVA-0016
mention_00779,Instagram,user_6268,https://instagram.com/p/977057,"Eva delivery took 2 weeks, disappointed",Eva Cosmetics,en,negative,customer_service,1.0,"{'likes': 342, 'comments': 15}",Eva Acne Treatment,EVA-0018
mention_00707,Twitter,user_9192,https://twitter.com/user_9192/status/1661759010,Anyone tried Eva hair products? Worth it?,Eva Cosmetics,en,neutral,hair_care,1.0,"{'likes': 227, 'retweets': 64, 'replies': 1}",Eva Toner,EVA-0062
mention_00381,Twitter,user_6488,https://twitter.com/user_6488/status/8118065825,Just tried Eva cream and OMG my skin is glowing! ✨,Eva Cosmetics,en,positive,general_mention,1.0,"{'likes': 119, 'retweets': 69, 'replies': 22}",Eva Musk & Jasmine,EVA-0002
mention_00368,Facebook,user_6081,https://facebook.com/posts/832614,Honestly Eva products are overpriced for the quality,Eva Cosmetics,en,negative,product_quality,1.0,"{'likes': 137, 'comments': 41, 'shares': 12}",Eva Whitening Cream,EVA-0009
mention_00533,Facebook,user_1511,https://facebook.com/posts/952117,Hi everyone! Can someone recommend Eva products for dry skin?,Eva Cosmetics,en,neutral,moisturizing,1.0,"{'likes': 186, 'comments': 9, 'shares': 28}",Eva Sheet Mask,EVA-0065
mention_00627,Twitter,user_3525,https://twitter.com/user_3525/status/7927950813,Bad quality,Eva Cosmetics,en,negative,product_quality,0.7,"{'likes': 419, 'retweets': 49, 'replies': 12}",Eva Clay Mask,EVA-0064
mention_00255,Instagram,user_3616,https://instagram.com/p/525110,Eva cosmetics has the best body splash ever,Eva Cosmetics,en,positive,general_mention,1.0,"{'likes': 693, 'comments': 15}",Eva Body Scrub,EVA-0040
mention_00079,Twitter,user_8753,https://twitter.com/user_8753/status/6771394050,ايفا غالية شوية بس تستاهل,Eva Cosmetics,ar,positive,price_value,1.0,"{'likes': 207, 'retweets': 88, 'replies': 15}",إيفا Natural Deodorant,EVA-0048
mention_00030,Instagram,user_8491,https://instagram.com/p/431535,خدمة العملاء بتاعت ايفا سيئة جدا,Eva Cosmetics,ar,negative,customer_service,1.0,"{'likes': 144, 'comments': 85}",إيفا Body Oil,EVA-0039
mention_00221,Instagram,user_5382,https://instagram.com/p/571435,للأسف منتجات ايفا مش زي زمان,Eva Cosmetics,ar,negative,general_mention,1.0,"{'likes': 336, 'comments': 30}",إيفا Face Moisturizer,EVA-0016
mention_00240,Amazon,user_8932,https://amazon.com/product/EVA-0034/review/mention_00240,"No effect at all, very light",Eva Cosmetics,en,neutral,general_mention,0.7,{'helpful_votes': 34},Eva Body Lotion Cocoa,EVA-0034
mention_00681,Amazon,user_2854,https://amazon.com/product/EVA-0065/review/mention_00681,Caused skin irritation,Eva Cosmetics,en,negative,skin_reaction,0.7,{'helpful_votes': 5},Eva Sheet Mask,EVA-0065
mention_00050,Twitter,user_8618,https://twitter.com/user_8618/status/7192423780,ريحة بودي سبلاش ايفا جامدة بس مش دايمة,Eva Cosmetics,ar,positive,smell_fragrance,1.0,"{'likes': 220, 'retweets': 100, 'replies': 37}",إيفا Firming Lotion,EVA-0042
mention_00052,Facebook,user_8784,https://facebook.com/posts/740967,Honestly Eva products are overpriced for the quality,Eva Cosmetics,en,negative,product_quality,1.0,"{'likes': 50, 'comments': 18, 'shares': 0}",Eva Color Protect Shampoo,EVA-0032
mention_00045,Instagram,user_5173,https://instagram.com/p/146542,بموت فيه,Eva Cosmetics,ar,negative,general_mention,0.7,"{'likes': 128, 'comments': 49}",إيفا Argan Conditioner,EVA-0025
mention_01042,Amazon,user_1486,https://amazon.com/product/EVA-0006/review/mention_01042,غالي على جودته,Eva Cosmetics,ar,positive,price_value,0.7,{'helpful_votes': 48},إيفا Lavender Mist,EVA-0006
mention_01088,Amazon,user_4305,https://amazon.com/product/EVA-0049/review/mention_01088,منتج ممتاز بستخدمه دايما,Eva Cosmetics,ar,positive,general_mention,0.7,{'helpful_votes': 3},إيفا 48H Protection,EVA-0049
mention_00429,Noon,user_6343,https://noon.com/product/EVA-0051/review/mention_00429,رائحته جميلة جدا وثباته كويس,Eva Cosmetics,ar,positive,longevity,0.7,{'helpful_votes': 5},إيفا Sport Active,EVA-0051
mention_00706,Instagram,user_2838,https://instagram.com/p/492393,مزيل ايفا عامل حساسية تحت الباط 😢,Eva Cosmetics,ar,negative,skin_reaction,1.0,"{'likes': 231, 'comments': 67}",إيفا Anti-Dandruff Shampoo,EVA-0023
mention_00527,Facebook,user_6420,https://facebook.com/posts/474486,Been loyal to Eva for 5 years now!,Eva Cosmetics,en,positive,general_mention,1.0,"{'likes': 25, 'comments': 25, 'shares': 23}",Eva Face Scrub,EVA-0063
mention_00858,Twitter,user_2347,https://twitter.com/user_2347/status/6704212255,تحفة,Eva Cosmetics,ar,positive,general_mention,0.7,"{'likes': 390, 'retweets': 46, 'replies': 45}",إيفا Lavender Mist,EVA-0006
mention_00773,Amazon,user_1918,https://amazon.com/product/EVA-0044/review/mention_00773,ثبات ضعيف جدا,Eva Cosmetics,ar,neutral,longevity,0.7,{'helpful_votes': 1},إيفا Roll-On Fresh,EVA-0044
mention_00102,Jumia,user_8560,https://jumia.com/product/EVA-0015/review/mention_00102,خسارة فيه الفلوس,Eva Cosmetics,ar,negative,price_value,0.7,{'helpful_votes': 5},إيفا SPF 30 Sunscreen,EVA-0015
mention_00423,Facebook,user_2404,https://facebook.com/posts/800596,تحذير! مزيل ايفا عمل حساسية شديدة,Eva Cosmetics,ar,negative,skin_reaction,1.0,"{'likes': 144, 'comments': 7, 'shares': 4}",إيفا Vitamin C Cream,EVA-0013
mention_00245,Twitter,user_4697,https://twitter.com/user_4697/status/3739951076,Not worth the price,Eva Cosmetics,en,negative,price_value,0.7,"{'likes': 122, 'retweets': 31, 'replies': 3}",Eva Cosmetics,
mention_00708,Instagram,user_2609,https://instagram.com/p/962074,Great moisturizing,Eva Cosmetics,en,positive,general_mention,0.7,"{'likes': 327, 'comments': 99}",Eva Dark Spot Corrector,EVA-0019
mention_01396,Facebook,user_6582,https://facebook.com/posts/294305,للأمانة منتجات ايفا ممتازة بس غالية شوية,Eva Cosmetics,ar,positive,price_value,1.0,"{'likes': 1, 'comments': 46, 'shares': 24}",إيفا Anti-Aging Serum,EVA-0010
mention_01010,Amazon,user_1033,https://amazon.com/product/EVA-0018/review/mention_01010,"No effect at all, very light",Eva Cosmetics,en,neutral,general_mention,0.7,{'helpful_votes': 1},Eva Acne Treatment,EVA-0018
mention_00068,Facebook,user_2874,https://facebook.com/posts/691364,السلام عليكم يا بنات، حابة اسألكم عن كريم ايفا المبيض. حد جربه قبل كده؟,Eva Cosmetics,ar,neutral,general_mention,1.0,"{'likes': 159, 'comments': 19, 'shares': 7}",إيفا Micellar Water,EVA-0061
mention_01095,Facebook,user_6440,https://facebook.com/posts/283847,Does anyone know if Eva ships internationally?,Eva Cosmetics,en,neutral,general_mention,1.0,"{'likes': 83, 'comments': 80, 'shares': 22}",Eva Acne Treatment,EVA-0018
mention_00515,Amazon,user_2349,https://amazon.com/product/EVA-0066/review/mention_00515,عادي مفيش حاجة مميزة,Eva Cosmetics,ar,negative,general_mention,0.7,{'helpful_votes': 12},إيفا Peel-Off Mask,EVA-0066
mention_00863,Facebook,user_9177,https://facebook.com/posts/392047,يا جماعة ايفا عاملة sale على الموقع!,Eva Cosmetics,ar,neutral,general_mention,1.0,"{'likes': 103, 'comments': 15, 'shares': 7}",إيفا Honey Soap,EVA-0055
mention_00355,Twitter,user_9510,https://twitter.com/user_9510/status/8215470878,Just tried Eva cream and OMG my skin is glowing! ✨,Eva Cosmetics,en,positive,general_mention,1.0,"{'likes': 109, 'retweets': 61, 'replies': 4}",Eva Leave-in Conditioner,EVA-0029
mention_00959,Twitter,user_6820,https://twitter.com/user_6820/status/4304435774,Eva products quality went down lately 😞,Eva Cosmetics,en,negative,product_quality,1.0,"{'likes': 287, 'retweets': 28, 'replies': 31}",Eva Roll-On Fresh,EVA-0044
mention_01049,Noon,user_7131,https://noon.com/product/EVA-0066/review/mention_01049,خلاني البشرة تحسس,Eva Cosmetics,ar,positive,general_mention,0.7,{'helpful_votes': 24},إيفا Peel-Off Mask,EVA-0066
mention_00812,Instagram,user_5521,https://instagram.com/p/217466,Thank you @evacosmetics for amazing products! 💕,Eva Cosmetics,en,positive,general_mention,1.0,"{'likes': 991, 'comments': 9}",Eva Keratin Shampoo,EVA-0022
mention_00077,Jumia,user_9004,https://jumia.com/product/EVA-0053/review/mention_00077,بيطري الشعر وريحته حلوة,Eva Cosmetics,ar,positive,hair_care,0.7,{'helpful_votes': 5},إيفا Charcoal Soap,EVA-0053
mention_00757,Facebook,user_6132,https://facebook.com/posts/674213,Does anyone know if Eva ships internationally?,Eva Cosmetics,en,neutral,general_mention,1.0,"{'likes': 197, 'comments': 24, 'shares': 16}",Eva Volume Shampoo,EVA-0024
mention_00793,Instagram,user_3234,https://instagram.com/p/579975,مالوش اي اثر,Eva Cosmetics,ar,negative,general_mention,0.7,"{'likes': 475, 'comments': 22}",إيفا Natural Deodorant,EVA-0048
mention_00071,Facebook,user_9728,https://facebook.com/posts/549186,Does anyone know if Eva ships internationally?,Eva Cosmetics,en,neutral,general_mention,1.0,"{'likes': 30, 'comments': 72, 'shares': 25}",Eva Roll-On Floral,EVA-0045
mention_00580,Facebook,user_3555,https://facebook.com/posts/916776,Honestly Eva products are overpriced for the quality,Eva Cosmetics,en,negative,product_quality,1.0,"{'likes': 58, 'comments': 25, 'shares': 26}",Eva Spray Deodorant,EVA-0046
mention_01145,Amazon,user_1562,https://amazon.com/product/EVA-0019/review/mention_01145,Love the smell and texture,Eva Cosmetics,en,positive,smell_fragrance,0.7,{'helpful_votes': 38},Eva Dark Spot Corrector,EVA-0019
mention_01117,Twitter,user_9495,https://twitter.com/user_9495/status/4908201827,مين جرب شامبو ايفا؟ عايزة رأيكم,Eva Cosmetics,ar,neutral,hair_care,1.0,"{'likes': 329, 'retweets': 91, 'replies': 24}",إيفا Night Cream,EVA-0011
mention_00576,Twitter,user_4767,https://twitter.com/user_4767/status/8731634319,حد يعرف فين الاقي منتجات ايفا في السعودية؟,Eva Cosmetics,ar,neutral,general_mention,1.0,"{'likes': 34, 'retweets': 48, 'replies': 40}",إيفا Leave-in Conditioner,EVA-0029
mention_00345,Twitter,user_5794,https://twitter.com/user_5794/status/1408988968,حلو جدا وترطيبه عالي,Eva Cosmetics,ar,positive,moisturizing,0.7,"{'likes': 143, 'retweets': 76, 'replies': 34}",إيفا Firming Lotion,EVA-0042
mention_00824,Facebook,user_6549,https://facebook.com/posts/822622,Does anyone know if Eva ships internationally?,Eva Cosmetics,en,neutral,general_mention,1.0,"{'likes': 170, 'comments': 18, 'shares': 25}",Eva Glycerin Soap,EVA-0057
mention_00278,Instagram,user_5927,https://instagram.com/p/999197,حلو جدا وترطيبه عالي,Eva Cosmetics,ar,positive,moisturizing,0.7,"{'likes': 494, 'comments': 30}",إيفا Leave-in Conditioner,EVA-0029
mention_00491,Twitter,user_2765,https://twitter.com/user_2765/status/8546898960,"Eva delivery took 2 weeks, disappointed",Eva Cosmetics,en,negative,customer_service,1.0,"{'likes': 110, 'retweets': 58, 'replies': 50}",Eva Roll-On Fresh,EVA-0044
mention_00219,Amazon,user_2195,https://amazon.com/product/EVA-0059/review/mention_00219,عادي مفيش حاجة مميزة,Eva Cosmetics,ar,negative,general_mention,0.7,{'helpful_votes': 25},إيفا Lavender Soap,EVA-0059
mention_00199,Twitter,user_7955,https://twitter.com/user_7955/status/5633956194,تحفة,Eva Cosmetics,ar,positive,general_mention,0.7,"{'likes': 188, 'retweets': 66, 'replies': 17}",إيفا Night Cream,EVA-0011
mention_00887,Jumia,user_5389,https://jumia.com/product/EVA-0060/review/mention_00887,Doesn't moisturize enough,Eva Cosmetics,en,negative,moisturizing,0.7,{'helpful_votes': 31},Eva Facial Cleanser,EVA-0060
mention_00991,Noon,user_6554,https://noon.com/product/EVA-0051/review/mention_00991,Smell is nice but doesn't last,Eva Cosmetics,en,negative,smell_fragrance,0.7,{'helpful_votes': 24},Eva Sport Active,EVA-0051
mention_00465,Jumia,user_1323,https://jumia.com/product/EVA-0014/review/mention_00465,Doesn't moisturize enough,Eva Cosmetics,en,negative,moisturizing,0.7,{'helpful_votes': 3},Eva Collagen Boost,EVA-0014
mention_00918,Twitter,user_3166,https://twitter.com/user_3166/status/3403293589,مالوش اي اثر,Eva Cosmetics,ar,negative,general_mention,0.7,"{'likes': 195, 'retweets': 38, 'replies': 25}",إيفا Natural Deodorant,EVA-0048
mention_01135,Twitter,user_3753,https://twitter.com/user_3753/status/9145012813,مين جرب شامبو ايفا؟ عايزة رأيكم,Eva Cosmetics,ar,neutral,hair_care,1.0,"{'likes': 154, 'retweets': 86, 'replies': 35}",إيفا Facial Cleanser,EVA-0060
mention_00262,Jumia,user_7806,https://jumia.com/product/EVA-0066/review/mention_00262,منتج ممتاز بستخدمه دايما,Eva Cosmetics,ar,positive,general_mention,0.7,{'helpful_votes': 29},إيفا Peel-Off Mask,EVA-0066
mention_00347,Instagram,user_7786,https://instagram.com/p/493396,"Eva delivery took 2 weeks, disappointed",Eva Cosmetics,en,negative,customer_service,1.0,"{'likes': 511, 'comments': 18}",Eva Body Lotion Vitamin E,EVA-0035
mention_00937,Instagram,user_9115,https://instagram.com/p/652891,Where can I buy Eva products in Dubai?,Eva Cosmetics,en,neutral,general_mention,1.0,"{'likes': 673, 'comments': 87}",Eva Hydrating Gel,EVA-0020
mention_01132,Instagram,user_7556,https://instagram.com/p/875112,Eva lotion smell is amazing but doesnt last,Eva Cosmetics,en,positive,smell_fragrance,1.0,"{'likes': 704, 'comments': 56}",Eva Face Scrub,EVA-0063
mention_00507,Twitter,user_5329,https://twitter.com/user_5329/status/1558631501,Great moisturizing,Eva Cosmetics,en,positive,general_mention,0.7,"{'likes': 61, 'retweets': 48, 'replies': 2}",Eva Body Butter,EVA-0036
mention_00753,Amazon,user_8775,https://amazon.com/product/EVA-0050/review/mention_00753,خلاني البشرة تحسس,Eva Cosmetics,ar,positive,general_mention,0.7,{'helpful_votes': 14},إيفا Sensitive Skin,EVA-0050
mention_00883,Instagram,user_5478,https://instagram.com/p/170537,Anyone tried Eva hair products? Worth it?,Eva Cosmetics,en,neutral,hair_care,1.0,"{'likes': 744, 'comments': 74}",Eva Roll-On Fresh,EVA-0044
mention_00266,Instagram,user_7135,https://instagram.com/p/501058,ايفا ولا نيفيا احسن؟,Eva Cosmetics,ar,neutral,general_mention,1.0,"{'likes': 794, 'comments': 82}",إيفا Milk Soap,EVA-0054
mention_00248,Twitter,user_3868,https://twitter.com/user_3868/status/4597485607,Anyone tried Eva hair products? Worth it?,Eva Cosmetics,en,neutral,hair_care,1.0,"{'likes': 333, 'retweets': 73, 'replies': 14}",Eva Ocean Breeze,EVA-0005
mention_00946,Twitter,user_4961,https://twitter.com/user_4961/status/1819971340,Eva deodorant caused rash on my skin,Eva Cosmetics,en,negative,skin_reaction,1.0,"{'likes': 439, 'retweets': 3, 'replies': 13}",Eva Dark Spot Corrector,EVA-0019
mention_00044,Noon,user_6663,https://noon.com/product/EVA-0056/review/mention_00044,Gentle on sensitive skin,Eva Cosmetics,en,neutral,skin_reaction,0.7,{'helpful_votes': 2},Eva Aloe Vera Soap,EVA-0056
mention_00968,Twitter,user_1607,https://twitter.com/user_1607/status/3755074460,خدمة العملاء بتاعت ايفا سيئة جدا,Eva Cosmetics,ar,negative,customer_service,1.0,"{'likes': 395, 'retweets': 21, 'replies': 27}",إيفا Sport Active,EVA-0051
mention_01241,Twitter,user_6463,https://twitter.com/user_6463/status/4958262912,Is Eva cruelty-free?,Eva Cosmetics,en,neutral,general_mention,1.0,"{'likes': 163, 'retweets': 63, 'replies': 27}",Eva Charcoal Soap,EVA-0053
mention_00354,Twitter,user_1848,https://twitter.com/user_1848/status/6300607425,Eva customer service is terrible,Eva Cosmetics,en,negative,customer_service,1.0,"{'likes': 42, 'retweets': 47, 'replies': 42}",Eva Keratin Shampoo,EVA-0022
mention_00984,Twitter,user_2945,https://twitter.com/user_2945/status/2755008946,Excellent product,Eva Cosmetics,en,positive,general_mention,0.7,"{'likes': 242, 'retweets': 4, 'replies': 47}",Eva Natural Deodorant,EVA-0048
mention_00579,Facebook,user_4847,https://facebook.com/posts/871153,Been loyal to Eva for 5 years now!,Eva Cosmetics,en,positive,general_mention,1.0,"{'likes': 46, 'comments': 24, 'shares': 15}",Eva Repair Conditioner,EVA-0026
mention_00631,Noon,user_2310,https://noon.com/product/EVA-0063/review/mention_00631,"Great product, smells amazing and lasts long",Eva Cosmetics,en,positive,smell_fragrance,0.7,{'helpful_votes': 13},Eva Face Scrub,EVA-0063
mention_00620,Twitter,user_1979,https://twitter.com/user_1979/status/1461243650,تحفة,Eva Cosmetics,ar,positive,general_mention,0.7,"{'likes': 46, 'retweets': 87, 'replies': 39}",إيفا Berry Bliss,EVA-0008
mention_01071,Facebook,user_3815,https://facebook.com/posts/442645,Hi everyone! Can someone recommend Eva products for dry skin?,Eva Cosmetics,en,neutral,moisturizing,1.0,"{'likes': 116, 'comments': 7, 'shares': 11}",Eva Musk & Jasmine,EVA-0002
mention_01340,Amazon,user_8416,https://amazon.com/product/None/review/mention_01340,منتج ممتاز بستخدمه دايما,Eva Cosmetics,ar,positive,general_mention,0.7,{'helpful_votes': 30},Eva Cosmetics,
mention_00260,Twitter,user_3455,https://twitter.com/user_3455/status/6001648993,Eva products quality went down lately 😞,Eva Cosmetics,en,negative,product_quality,1.0,"{'likes': 31, 'retweets': 70, 'replies': 32}",Eva Cosmetics,
mention_00983,Jumia,user_9669,https://jumia.com/product/EVA-0066/review/mention_00983,ثبات ضعيف جدا,Eva Cosmetics,ar,neutral,longevity,0.7,{'helpful_votes': 8},إيفا Peel-Off Mask,EVA-0066
mention_00555,Amazon,user_8069,https://amazon.com/product/EVA-0001/review/mention_00555,Doesn't moisturize enough,Eva Cosmetics,en,negative,moisturizing,0.7,{'helpful_votes': 34},Eva Gold Spell,EVA-0001
mention_00066,Amazon,user_5133,https://amazon.com/product/EVA-0054/review/mention_00066,خسارة فيه الفلوس,Eva Cosmetics,ar,negative,price_value,0.7,{'helpful_votes': 17},إيفا Milk Soap,EVA-0054
mention_00483,Facebook,user_2291,https://facebook.com/posts/581395,للأمانة منتجات ايفا ممتازة بس غالية شوية,Eva Cosmetics,ar,positive,price_value,1.0,"{'likes': 140, 'comments': 48, 'shares': 12}",إيفا Strengthening Shampoo,EVA-0031
mention_00948,Amazon,user_4975,https://amazon.com/product/EVA-0058/review/mention_00948,Caused skin irritation,Eva Cosmetics,en,negative,skin_reaction,0.7,{'helpful_votes': 1},Eva Rose Soap,EVA-0058
mention_00428,Twitter,user_4308,https://twitter.com/user_4308/status/3693916084,Eva deodorant caused rash on my skin,Eva Cosmetics,en,negative,skin_reaction,1.0,"{'likes': 64, 'retweets': 5, 'replies': 27}",Eva Aloe Vera Soap,EVA-0056
mention_01356,Twitter,user_4175,https://twitter.com/user_4175/status/9213654445,خسارة فيه الفلوس,Eva Cosmetics,ar,negative,price_value,0.7,"{'likes': 356, 'retweets': 55, 'replies': 23}",إيفا Day Cream,EVA-0012
mention_00865,Amazon,user_3001,https://amazon.com/product/EVA-0014/review/mention_00865,حلو جدا وترطيبه عالي,Eva Cosmetics,ar,positive,moisturizing,0.7,{'helpful_votes': 49},إيفا Collagen Boost,EVA-0014
mention_01114,Amazon,user_7947,https://amazon.com/product/EVA-0050/review/mention_01114,"No effect at all, very light",Eva Cosmetics,en,neutral,general_mention,0.7,{'helpful_votes': 44},Eva Sensitive Skin,EVA-0050
mention_01156,Instagram,user_5509,https://instagram.com/p/763049,Anyone tried Eva hair products? Worth it?,Eva Cosmetics,en,neutral,hair_care,1.0,"{'likes': 806, 'comments': 59}",Eva 48H Protection,EVA-0049
mention_00033,Facebook,user_3200,https://facebook.com/posts/377312,Does anyone know if Eva ships internationally?,Eva Cosmetics,en,neutral,general_mention,1.0,"{'likes': 2, 'comments': 70, 'shares': 9}",Eva Collagen Boost,EVA-0014
mention_00942,Facebook,user_6592,https://facebook.com/posts/949352,مين عندها فكرة عن اسعار ايفا في السعودية؟,Eva Cosmetics,ar,neutral,general_mention,1.0,"{'likes': 193, 'comments': 57, 'shares': 19}",إيفا Body Lotion Cocoa,EVA-0034
mention_00431,Twitter,user_2654,https://twitter.com/user_2654/status/8669719073,بيطري الشعر,Eva Cosmetics,ar,neutral,hair_care,0.7,"{'likes': 298, 'retweets': 97, 'replies': 6}",إيفا Collagen Boost,EVA-0014
mention_00169,Twitter,user_9586,https://twitter.com/user_9586/status/5976777081,بستخدم لوشن ايفا من سنين وبشرتي بقت احسن,Eva Cosmetics,ar,positive,general_mention,1.0,"{'likes': 20, 'retweets': 31, 'replies': 45}",إيفا Glycerin Soap,EVA-0057
mention_00744,Amazon,user_7897,https://amazon.com/product/EVA-0043/review/mention_00744,ثبات ضعيف جدا,Eva Cosmetics,ar,neutral,longevity,0.7,{'helpful_votes': 36},إيفا Stretch Mark Cream,EVA-0043
mention_01244,Instagram,user_2804,https://instagram.com/p/162471,جربت كريم ايفا النهاردة والله تحفة 😍,Eva Cosmetics,ar,positive,general_mention,1.0,"{'likes': 381, 'comments': 71}",إيفا Acne Treatment,EVA-0018
mention_00771,Instagram,user_4104,https://instagram.com/p/246740,Is Eva cruelty-free?,Eva Cosmetics,en,neutral,general_mention,1.0,"{'likes': 508, 'comments': 10}",Eva Glycerin Soap,EVA-0057
mention_00622,Facebook,user_8951,https://facebook.com/posts/840951,مين عندها فكرة عن اسعار ايفا في السعودية؟,Eva Cosmetics,ar,neutral,general_mention,1.0,"{'likes': 91, 'comments': 17, 'shares': 8}",إيفا Lavender Mist,EVA-0006
mention_00844,Noon,user_5610,https://noon.com/product/EVA-0067/review/mention_00844,حلو جدا وترطيبه عالي,Eva Cosmetics,ar,positive,moisturizing,0.7,{'helpful_votes': 0},إيفا Makeup Remover,EVA-0067
mention_01232,Facebook,user_3531,https://facebook.com/posts/355652,يا جماعة ايفا عاملة sale على الموقع!,Eva Cosmetics,ar,neutral,general_mention,1.0,"{'likes': 113, 'comments': 20, 'shares': 9}",إيفا Toner,EVA-0062
mention_00618,Instagram,user_7484,https://instagram.com/p/927477,بستخدم لوشن ايفا من سنين وبشرتي بقت احسن,Eva Cosmetics,ar,positive,general_mention,1.0,"{'likes': 823, 'comments': 35}",إيفا Face Moisturizer,EVA-0016
mention_00813,Twitter,user_9870,https://twitter.com/user_9870/status/5001713266,ريحة بودي سبلاش ايفا جامدة بس مش دايمة,Eva Cosmetics,ar,positive,smell_fragrance,1.0,"{'likes': 266, 'retweets': 80, 'replies': 1}",إيفا Milk Soap,EVA-0054
mention_00629,Twitter,user_1521,https://twitter.com/user_1521/status/8886846400,ايفا احسن منتجات عناية بالبشرة في مصر,Eva Cosmetics,ar,positive,general_mention,1.0,"{'likes': 103, 'retweets': 13, 'replies': 31}",إيفا Vitamin C Cream,EVA-0013
mention_01197,Twitter,user_7551,https://twitter.com/user_7551/status/2670091632,حلو جدا وترطيبه عالي,Eva Cosmetics,ar,positive,moisturizing,0.7,"{'likes': 253, 'retweets': 87, 'replies': 45}",إيفا Firming Lotion,EVA-0042
mention_01206,Instagram,user_6269,https://instagram.com/p/322274,ايفا احسن منتجات عناية بالبشرة في مصر,Eva Cosmetics,ar,positive,general_mention,1.0,"{'likes': 196, 'comments': 5}",إيفا Citrus Fresh,EVA-0007
mention_00185,Instagram,user_5700,https://instagram.com/p/970068,Eva lotion smell is amazing but doesnt last,Eva Cosmetics,en,positive,smell_fragrance,1.0,"{'likes': 820, 'comments': 18}",Eva Ocean Breeze,EVA-0005
mention_01357,Jumia,user_7406,https://jumia.com/product/EVA-0043/review/mention_01357,عادي مفيش حاجة مميزة,Eva Cosmetics,ar,negative,general_mention,0.7,{'helpful_votes': 22},إيفا Stretch Mark Cream,EVA-0043
mention_01098,Instagram,user_5859,https://instagram.com/p/311824,Anyone tried Eva hair products? Worth it?,Eva Cosmetics,en,neutral,hair_care,1.0,"{'likes': 71, 'comments': 17}",Eva Clay Mask,EVA-0064
mention_00535,Jumia,user_6993,https://jumia.com/product/EVA-0020/review/mention_00535,Too expensive for the quality,Eva Cosmetics,en,negative,product_quality,0.7,{'helpful_votes': 30},Eva Hydrating Gel,EVA-0020
mention_00164,Amazon,user_6295,https://amazon.com/product/EVA-0058/review/mention_00164,غالي على جودته,Eva Cosmetics,ar,positive,price_value,0.7,{'helpful_votes': 48},إيفا Rose Soap,EVA-0058
mention_00193,Amazon,user_6850,https://amazon.com/product/EVA-0003/review/mention_00193,خسارة فيه الفلوس,Eva Cosmetics,ar,negative,price_value,0.7,{'helpful_votes': 23},إيفا Rose Garden,EVA-0003
